tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
4579,2019-10-07 10:28:27.2360,2019-10-07 11:44:46.5900,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,1295,Subscriber,1959,1,60776,-71.12518900464255,42.38251673151275,174822,-71.10709011203559,42.36425131671092,37707.0,42286.0,True,True
6971,2019-10-07 10:28:32.8530,2019-10-07 12:24:44.3670,367,Vassal Lane at Tobin/VLUS,42.3839322489048,-71.13961271959852,224,Fresh Pond Reservation,42.38267827521855,-71.143478951426,3898,Subscriber,1964,2,63483,-71.13998901286638,42.383746983011996,7456,-71.14203775,42.3822307,37712.0,44684.0,True,True
834,2019-10-07 10:29:19.3210,2019-10-07 10:43:13.4360,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631,2530,Subscriber,1982,1,117741,-71.11675576497234,42.37503265532354,178083,-71.10709257946753,42.35869486278253,37759.0,38593.0,True,True
194,2019-10-07 10:29:37.1040,2019-10-07 10:32:51.1420,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,3909,Subscriber,1999,1,117432,-71.11742359838449,42.37124171423925,257092,-71.12149338525684,42.37448533654319,37777.0,37971.0,True,True
878,2019-10-07 10:31:06.4300,2019-10-07 10:45:44.7240,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.35721850317653,-71.1138716340065,5691,Subscriber,1981,1,109,-71.12036153884078,42.38018971054144,85714,-71.11233435503792,42.35762101655029,37866.0,38744.0,True,True
344,2019-10-07 10:31:13.0930,2019-10-07 10:36:57.7610,115,Porter Square Station,42.387995,-71.119084,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,2738,Subscriber,1990,1,37169,-71.11997708649498,42.38750719144066,36929,-71.12576529999998,42.382612400000006,37873.0,38217.0,True,True
266,2019-10-07 10:31:17.2790,2019-10-07 10:35:43.8410,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,107,Ames St at Main St,42.3625,-71.08821999999998,4072,Subscriber,1995,1,179312,-71.09997304999997,42.35864645,246684,-71.09098619373064,42.36326768624518,37877.0,38143.0,True,True
1107,2019-10-07 10:31:19.8820,2019-10-07 10:49:47.0090,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,4852,Subscriber,1996,2,203702,-71.11551548854206,42.379895112420726,202091,-71.08926098560949,42.36230361758911,37879.0,38987.0,True,True
426,2019-10-07 10:31:46.7050,2019-10-07 10:38:53.2900,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,3619,Subscriber,1967,1,257062,-71.1197064172382,42.37357916471065,122989,-71.12800980000002,42.38051025000001,37906.0,38333.0,True,True
227,2019-10-07 10:32:08.7050,2019-10-07 10:35:55.8820,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002,185,Third at Binney,42.365444861374,-71.08277142047879,4160,Subscriber,1990,1,225777,-71.07928896181014,42.371992077516424,155170,-71.08318034557627,42.3677168212996,37928.0,38155.0,True,True
985,2019-10-07 10:33:21.4140,2019-10-07 10:49:46.7810,142,Alewife Station at Russell Field,42.396105,-71.139459,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,6070,Subscriber,1995,2,96741,-71.13612517588267,42.39696970706336,257115,-71.12087175,42.37247535,38001.0,38986.0,True,True
607,2019-10-07 10:33:26.8780,2019-10-07 10:43:34.7350,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002,107,Ames St at Main St,42.3625,-71.08821999999998,4086,Subscriber,1986,1,20582,-71.0781808670421,42.371371123975095,153300,-71.0847225450677,42.362063254342985,38006.0,38614.0,True,True
512,2019-10-07 10:34:15.8820,2019-10-07 10:42:48.7590,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,141,Kendall Street,42.36356015842989,-71.08216792345047,4896,Subscriber,1994,1,185879,-71.10270635499121,42.36287007337501,225056,-71.08310551915746,42.363289115748046,38055.0,38568.0,True,True
465,2019-10-07 10:34:22.5350,2019-10-07 10:42:08.1030,189,Kendall T,42.362427842912396,-71.08495473861693,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,3911,Subscriber,1989,1,203465,-71.08346181807613,42.362754416440566,165701,-71.10197614426997,42.361762516266005,38062.0,38528.0,True,True
890,2019-10-07 10:35:07.8170,2019-10-07 10:49:58.4080,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,141,Kendall Street,42.36356015842989,-71.08216792345047,3667,Subscriber,1977,1,257073,-71.11954601889983,42.37257958509181,246356,-71.08160792179531,42.36235119638382,38107.0,38998.0,True,True
